name,slug,region,alcohol_consumption_per_capita,birth_rate,children_under_the_age_of_5_years_underweight,death_rate,education_expenditures,infant_mortality_rate,life_expectancy_at_birth,maternal_mortality_ratio,median_age,net_migration_rate,obesity_adult_prevalence_rate,population_total,population_growth_rate,tobacco_use,total_fertility_rate
Gaza Strip,gaza-strip,Middle East,,26.8,2.1,2.9,5.3,15.1,75.5,20,19.5,-3.7,,2141643,2.02,,3.26
Marshall Islands,marshall-islands,Australia and Oceania,,21.2,11.9,4.3,13.6,20.6,75.2,,25.5,-4.3,52.9,82011,1.26,28.5,2.67
Guam,guam,Australia and Oceania,,18.1,,6.1,,10.9,78.0,,30.3,-10.9,,169532,0.11,,2.73
American Samoa,american-samoa,Australia and Oceania,,15.7,,6.3,,9.7,75.8,,30.0,-24.8,,43895,-1.54,,2.06
Northern Mariana Islands,northern-mariana-islands,Australia and Oceania,,15.7,,5.7,,11.9,77.1,,32.4,-13.4,,51118,-0.34,,2.56
Faroe Islands,faroe-islands,Europe,,14.9,,8.6,7.6,5.7,81.7,,36.8,0.0,,52933,0.63,,2.27
Kosovo,kosovo,Europe,,14.4,,7.2,,22.9,73.1,,32.0,-0.4,,1977093,0.68,,1.87
Saint Martin,saint-martin,Central America and the Caribbean,,13.9,,4.8,,6.5,81.0,,34.2,-6.2,,32996,0.3,,1.8
New Caledonia,new-caledonia,Australia and Oceania,,13.8,,6.0,,4.8,79.3,,34.3,3.6,,304167,1.14,,1.83
Gibraltar,gibraltar,Europe,,13.7,,8.7,,6.0,80.9,,36.8,-3.2,,29683,0.17,,1.89
Greenland,greenland,North America,,13.5,,9.2,10.2,8.5,74.5,,35.3,-4.9,,57751,-0.05,,1.88
Turks and Caicos Islands,turks-and-caicos-islands,Central America and the Caribbean,,13.0,0.4,3.6,4.5,11.1,81.3,,36.3,8.3,,60439,1.77,,1.7
French Polynesia,french-polynesia,Australia and Oceania,,13.0,,5.8,,4.3,78.9,,35.3,-0.6,,303540,0.66,,1.79
Curacao,curacao,Central America and the Caribbean,,12.9,,8.9,7.4,7.5,79.9,,37.8,-1.3,,153289,0.28,,1.96
Jersey,jersey,Europe,,12.2,,7.8,,3.7,83.0,,38.2,1.2,,103387,0.56,,1.66
Sint Maarten,sint-maarten,Central America and the Caribbean,,12.2,,6.4,,7.6,79.7,,41.0,5.7,,46215,1.15,,1.97
Montserrat,montserrat,Central America and the Caribbean,,11.9,,6.0,5.4,9.7,76.1,,36.8,0.0,,5468,0.59,,1.33
Wallis and Futuna,wallis-and-futuna,Australia and Oceania,,11.8,,6.0,,3.9,81.1,,36.3,-3.6,,15964,0.22,,1.71
Anguilla,anguilla,Central America and the Caribbean,,11.8,,4.7,4.0,3.0,82.6,,37.1,10.3,,19416,1.74,,1.72
Aruba,aruba,Central America and the Caribbean,,11.6,,8.8,5.5,11.5,78.5,,40.9,8.0,,125063,1.08,,1.82
Palau,palau,Australia and Oceania,,11.6,,8.4,6.8,10.8,75.2,,35.3,0.7,55.3,21864,0.38,17.6,1.7
Cayman Islands,cayman-islands,Central America and the Caribbean,,11.5,,6.1,2.1,7.3,82.5,,41.2,12.1,,66653,1.75,,1.82
