name,slug,region,airports,broadband_fixed_subscriptions,internet_users,merchant_marine,railways,roadways,telephones_fixed_lines,telephones_mobile_cellular,waterways
Afghanistan,afghanistan,South Asia,67,26570,7020000,,,34903,146000,22678000,1200
Libya,libya,Africa,66,332000,3095400,96,,34000,1218000,13940000,
Lithuania,lithuania,Europe,65,796814,2436000,59,1911.0,83821,250000,3826000,441
Uruguay,uruguay,South America,64,1063701,3060000,58,1673.0,77732,1259000,4741000,1600
Switzerland,switzerland,Europe,62,4028238,8352000,17,5296.0,83131,2919000,10450000,1292
Austria,austria,Europe,61,2606000,8277000,1,6123.0,126233,3544000,11035000,358
Guatemala,guatemala,Central America and the Caribbean,58,612000,9180000,9,800.0,17440,1918000,20553000,990
Ethiopia,ethiopia,Africa,57,212000,20400000,12,659.0,180000,862000,69123000,
Latvia,latvia,Europe,56,490569,1729000,83,2216.0,57972,174000,2167000,300
"Congo, Republic of the",congo-republic-of-the,Africa,56,1000,1794390,11,510.0,23324,17000,5648000,1120
Suriname,suriname,South America,55,92270,402600,13,,4304,108000,929000,1200
"Bahamas, The",bahamas-the,Central America and the Caribbean,55,83000,385400,1274,,2700,86000,404000,
French Polynesia,french-polynesia,Australia and Oceania,54,64000,218100,24,,2590,139000,328000,
Taiwan,taiwan,East and Southeast Asia,53,5831470,21600000,465,1613.1,43206,10000000,30000000,
Guyana,guyana,South America,51,95000,680000,80,,3995,125000,856000,330
Nepal,nepal,South Asia,51,1270000,15600000,,59.0,64500,726000,38213000,
Belgium,belgium,Europe,49,4734210,10920000,198,3602.0,118414,2953000,11874000,2043
Morocco,morocco,Africa,49,2102434,32560000,94,2067.0,57300,2645000,52959000,
Burkina Faso,burkina-faso,Africa,49,13979,4840000,,622.0,15304,81000,24678000,
Nigeria,nigeria,Africa,47,65313,115500000,928,3798.0,195000,97000,222225000,8600
Belarus,belarus,Europe,46,3255552,8352000,4,5528.0,86600,4230000,11771000,2500
Netherlands,netherlands,Europe,45,7525016,16560000,1187,3055.0,139027,4570000,20737000,6237
Central African Republic,central-african-republic,Africa,43,499,605000,,,24000,2000,1831000,2800
Serbia,serbia,Europe,43,1730496,5589000,,3333.0,45022,2539000,8621000,587
Chad,chad,Africa,42,,3060000,,,40000,5000,12087000,12400
United Arab Emirates,united-arab-emirates,Middle East,42,3245123,9400000,655,,4080,2286000,20036000,
Vietnam,vietnam,East and Southeast Asia,42,16699249,71780000,1973,2600.0,195468,2391000,137412000,47130
Slovenia,slovenia,Europe,42,651604,1869000,8,1207.0,38125,676000,2675000,710
Sudan,sudan,Africa,41,28782,13248000,14,7251.0,30000,156000,34671000,4068
Croatia,croatia,Europe,40,1030973,3321000,384,2617.0,26958,1235000,4480000,4714
